Name;Mayores a 1;Pago 2;Pago;Despachos 2;Despacho;Monedas 2;Moneda;Subtotal;Precio despacho;Con o sin dcto;Total;Desc monto;Shipping Method 2;Shipping Method;Cantidad;Producto;Precio oferta;Venta total;Precio normal;SKU;status despacho;Ciudad 2;Ciudad;Codigo postal 2;Codigo postal;Region 2;Region
43314;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;20980;3990; Con descueento;24970;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Calcetin   Premium - Negro / TamaÃ±o Ãšnico;990;990;3990;0008502000;fulfilled;Las Condes;Las Condes;SANTIAGOCENTRO;;RM;RM
43314;Mayor a 1;Pagado;;Despachado;;CLP;;;;Sin descuento;;;Despacho Region Metropolitana;;1;Botin Atenas Negro Premium - Negro / 35;19990;19990;49990;0037072035;fulfilled;Las Condes;;SANTIAGOCENTRO;;RM;
43313;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19980;0;Sin descuento;19980;0;Retiro en tienda;Retiro en tienda;1;Botin Grecia Amarillo Premium - Amarillo / 37;9990;9990;39990;0318078337;fulfilled;Vitacura;Vitacura;SANTIAGO;SANTIAGO;RM;RM
43313;Mayor a 1;Pagado;;Despachado;;CLP;;;;Sin descuento;;;Retiro en tienda;;1;Botin Grecia Negro Premium - Negro / 37;9990;9990;39990;0318072037;fulfilled;Vitacura;;SANTIAGO;;RM;
43312;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;20980;3990; Con descueento;24970;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Calcetin   Premium - Multicolor / TamaÃ±o Ãšnico;990;990;4990;0005503500;fulfilled;Santiago;Santiago;SANTIAGO;SANTIAGO;RM;RM
43312;Mayor a 1;Pagado;;Despachado;;CLP;;;;Sin descuento;;;Despacho Region Metropolitana;;1;Bootie  Dallas  Premium - Negro / 38;19990;19990;39990;8802072038;fulfilled;Santiago;;SANTIAGO;;RM;
43311;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;8290; Con descueento;24282;3998;Despacho Region;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;19990;49990;1003202038;fulfilled;Chillan viejo;Chillan viejo;CHILLAN;CHILLAN;NB;NB
43310;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 39;19990;19990;49990;1003202039;fulfilled;Condes;Condes;CONDES;CONDES;RM;RM
43309;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;Villa alemana ;Villa alemana ;VILLAAALEMANA;VILLAAALEMANA;VS;VS
43308;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;Villa alsmana ;Villa alsmana ;VILLAALEMANA;VILLAALEMANA;VS;VS
43307;Mayor a 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;74970;9990; Con descueento;84960;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;BotÃ­n Texa Dorado Police - Dorado / 38;24990;24990;;79-38;pending;Providencia ;Providencia ;SANTIAGO;SANTIAGO;RM;RM
43307;Mayor a 1;Pagado;;Sin despacho;;CLP;;;;Sin descuento;;;Despacho Region Metropolitana;;1;Zapato Florencoia Burdeo Premium - Burdeo / 39;19990;19990;49990;0020008539;pending;Providencia ;;SANTIAGO;;RM;
43307;Mayor a 1;Pagado;;Sin despacho;;CLP;;;;Sin descuento;;;Despacho Region Metropolitana;;1;Zapato Negro Delux - Negro / 38;29990;29990;43990;162-38;pending;Providencia ;;SANTIAGO;;RM;
43306;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;Providencia;Providencia;'7500584;'7500584;RM;RM
43305;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;ConcepciÃ³n;ConcepciÃ³n;CONCEPCIÃ“N;CONCEPCIÃ“N;BI;BI
43304;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;29990;3990; Con descueento;33980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Rob Negro Police - Negro / 37;29990;29990;;52-37;fulfilled;Pudahuel;Pudahuel;SANTIAGO;SANTIAGO;RM;RM
43303;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;10980;3990; Con descueento;14970;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Calcetin   Premium - Verde / TamaÃ±o Ãšnico;990;990;3990;0006503600;fulfilled;San miguel;San miguel;SANTIAGO;SANTIAGO;RM;RM
43303;Mayor a 1;Pagado;;Despachado;;CLP;;;;Sin descuento;;;Despacho Region Metropolitana;;1;Mochila Maura  Premium - Negro / TamaÃ±o Ãšnico;9990;9990;39990;6132052000;fulfilled;San miguel;;SANTIAGO;;RM;
43302;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Bootie  Dallas  Premium - Negro / 38;19990;19990;39990;8802072038;fulfilled;buin;buin;BUIN;BUIN;RM;RM
43301;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;fulfilled;Ã±uÃ±oa;Ã±uÃ±oa;SANTIAGO;SANTIAGO;RM;RM
43300;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;9990;0;Sin descuento;9990;0;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;9990;39990;3905058537;pending;Las Condes;Las Condes;'170893603;'170893603;RM;RM
43299;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Botin Toronto Negro Premium - Negro / 37;19990;19990;49990;0100072037;fulfilled;Las Condes ;Las Condes ;SANTIAGO;SANTIAGO;RM;RM
43298;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Toronto Negro Premium - Negro / 40;19990;19990;49990;0100072040;fulfilled;Vitacura;Vitacura;SANTIAGO;SANTIAGO;RM;RM
43297;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Bota  Cleveland Negro Premium - Negro / 40;19990;19990;89990;0001002040;fulfilled;San Miguel;San Miguel;'173338589;'173338589;RM;RM
43296;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;fulfilled;Macul;Macul;SANTIAGO;SANTIAGO;RM;RM
43295;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;9990;8290; Con descueento;18280;0;Despacho Region;Despacho Region;1;Zapatilla Brisbane CafÃ© Premium - Negro / 40;9990;9990;49990;1003204040;fulfilled;Coquimbo;Coquimbo;COQUIMBO;COQUIMBO;CO;CO
43294;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;29990;0;Sin descuento;29990;0;Retiro en tienda;Retiro en tienda;1;Botin Lenny Negro Police - Negro / 37;29990;29990;;54-37;fulfilled;La Reina ;La Reina ;SANTIAGO;SANTIAGO;RM;RM
43293;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Botin Linz Animal Premium - Beige / 37;19990;19990;49990;0037075437;fulfilled;Las condes;Las condes;SANTIAGO;SANTIAGO;RM;RM
43292;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;29970;0;Sin descuento;29970;0;Retiro en tienda;Retiro en tienda;2;Botin Valencia Negro Premium - Burdeo / 37;9990;19980;39990;3905058537;fulfilled;Ã‘UÃ‘OA;Ã‘UÃ‘OA;SANTIAGO;SANTIAGO;RM;RM
43292;Mayor a 1;Pagado;;Despachado;;CLP;;;;Sin descuento;;;Retiro en tienda;;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;Ã‘UÃ‘OA;;SANTIAGO;;RM;
43291;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;29980;0;Sin descuento;29980;0;Retiro en tienda;Retiro en tienda;1;Botin Toronto Negro Premium - Negro / 38;19990;19990;49990;0100072038;fulfilled;Santiago;Santiago;'8320000;'8320000;RM;RM
43291;Mayor a 1;Pagado;;Despachado;;CLP;;;;Sin descuento;;;Retiro en tienda;;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;Santiago;;'8320000;;RM;
43290;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Botin Toronto Negro Premium - Negro / 37;19990;19990;49990;0100072037;fulfilled;Coltauco;Coltauco;RANCAGUA;RANCAGUA;LI;LI
43289;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;29990;8290; Con descueento;38280;0;Despacho Region;Despacho Region;1;Zapatilla Angelica Negro Premium - Negro / 38;29990;29990;;0100072038;fulfilled;Concepcion;Concepcion;CONCEPCION;CONCEPCION;BI;BI
43288;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;9990;0;Sin descuento;9990;0;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;9990;39990;3905058537;fulfilled;Ã‘uÃ±oa;Ã‘uÃ±oa;12137076K;12137076K;RM;RM
43287;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;9990;0;Sin descuento;9990;0;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 36;9990;9990;39990;3905058536;fulfilled;Quilicura;Quilicura;SANTIAGO;SANTIAGO;RM;RM
43286;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Botin Toronto Negro Premium - Negro / 37;19990;19990;49990;0100072037;fulfilled;Ã‘uÃ±oa;Ã‘uÃ±oa;SANTIAGO;SANTIAGO;RM;RM
43285;Mayor a 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;31984;0;Sin descuento;31984;7996;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;pending;Condes;Condes;CONDES;CONDES;RM;RM
43285;Mayor a 1;Pagado;;Sin despacho;;CLP;;;;Sin descuento;;;Retiro en tienda;;1;Zapatilla Brisbane Negro Premium - Negro / 39;19990;19990;49990;1003202039;pending;Condes;;CONDES;;RM;
43284;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 40;19990;19990;39990;6001202040;fulfilled;Condes;Condes;CONDES;CONDES;RM;RM
43283;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;9990;0;Sin descuento;9990;0;Retiro en tienda;Retiro en tienda;1;Botin Grecia Negro Premium - Negro / 38;9990;9990;39990;0318072038;fulfilled;San bernardo;San bernardo;SANTIAGO;SANTIAGO;RM;RM
43282;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapato Perugia Negro Premium - Negro / 37;19990;19990;29990;0561052037;fulfilled;San joaquin ;San joaquin ;SANTIAGO;SANTIAGO;RM;RM
43281;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;39980;3990; Con descueento;43970;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;fulfilled;Quilicura;Quilicura;SANTIAGO;SANTIAGO;RM;RM
43281;Mayor a 1;Pagado;;Despachado;;CLP;;;;Sin descuento;;;Despacho Region Metropolitana;;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;Quilicura;;SANTIAGO;;RM;
43280;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;fulfilled;Las Condes;Las Condes;SANTIAGO;SANTIAGO;RM;RM
43279;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19980;0;Sin descuento;19980;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane CafÃ© Premium - Negro / 38;9990;9990;49990;1003204038;fulfilled;Independencia;Independencia;'8380000;'8380000;RM;RM
43279;Mayor a 1;Pagado;;Despachado;;CLP;;;;Sin descuento;;;Retiro en tienda;;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 38;9990;9990;39990;0023072938;fulfilled;Independencia;;'8380000;;RM;
43278;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 36;19990;19990;49990;1003202036;fulfilled;Concepcion;Concepcion;CONCEPCION;CONCEPCION;BI;BI
43277;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;34990;3990; Con descueento;38980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Frankfurt Blanco Premium - Blanco / 38;34990;34990;;1001201038;fulfilled;Providencia;Providencia;'0000000;'0000000;RM;RM
43276;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;9990;0;Sin descuento;9990;0;Retiro en tienda;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 37;9990;9990;39990;3905058537;fulfilled;San bernardo;San bernardo;SANTIAGO;SANTIAGO;RM;RM
43275;Mayor a 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;29980;0;Sin descuento;29980;0;Retiro en tienda;Retiro en tienda;1;Botin Paris Burdeo Premium - Burdeo / 38;19990;19990;39990;8172078538;fulfilled;Santiago;Santiago;'7970000;'7970000;RM;RM
